t,s,lateral,lateralV,speed,yawOffset,yawRate,lean,steer,slipFront,slipRear,grip,loadFracFront,longAccel,suspFront,suspRear,wheelie,airY,airVY,boost,slipstream,onRoad,airborne
0.028,11.35956439197788,0,0,0.8238063797805149,0,0,0,0,0,0,1,0.2915286881843462,3.701437068837058,0.00020675379948721195,-0.00020675379948721195,0,0,0,0,0.010243849487516244,1,0
0.051,11.375646831976047,0,0,1.0120632823070255,0,0,0,0,0,0,1,0.2297496413705416,5.144419090845208,0.004058272637420175,-0.004058272637420175,0,0,0,0,0.009730632628191658,1,0
0.078,11.417270263486014,0,0,1.391109448373932,0,0,0,0,0,0,1,0.13801758667782577,7.287017796882213,0.016790632087784287,-0.016790632087784287,0,0,0,0,0.008782820162430018,1,0
0.101,11.442839451240225,0,0,1.5819025616549245,0,0,0,0,0,0,1,0.1041677550341168,8.077653150274559,0.02512356400357675,-0.02512356400357675,0,0,0,0,0.008342800872292255,1,0
0.128,11.503563499718297,0,0,1.9660383446660374,0,0,0,0,0,0,1,0.08,9.264029959669907,0.044011104083906155,-0.044011104083906155,0,0,0,0,0.007530170186470627,1,0
0.151,11.538746746168256,0,0,2.159384760777333,0,0,0,0,0,0,1,0.08,9.708141498406022,0.053922415215898745,-0.053922415215898745,0,0,0,0,0.007155167711184382,1,0
0.178,11.61882687963303,0,0,2.548643875117538,0,0,0,0,0,0,1,0.08,10.386658278900885,0.07295143297784432,-0.07295143297784432,0,0,0,0,0.00645617880506537,1,0
0.202,11.663752336579973,0,0,2.7445602125949127,0,0,0,0,0,0,1,0.08,10.646768360533345,0.08149786222706441,-0.08149786222706441,0,0,0,0,0.006132724246931581,1,0
0.228,11.76344568078835,0,0,3.138975408736969,0,0,0,0,0,0,1,0.08,11.05569394285307,0.09604755911802898,-0.09604755911802898,0,0,0,0,0.005535366119004738,1,0
0.251,11.818242316726513,0,0,3.3374777956773882,0,0,0,0,0,0,1,0.08,11.218169007197545,0.10201639536530044,-0.10201639536530044,0,0,0,0,0.005258044276442589,1,0
0.275,11.87635814289328,0,0,3.5368456956903502,0,0,0,0,0,0,1,0.08,11.359640917612335,0.1071586153510494,-0.1071586153510494,0,0,0,0,0.004994616258192818,1,0
0.301,12.002605181047283,0,0,3.9381848810115163,0,0,0,0,0,0,1,0.08,11.594853776292243,0.1152219398945726,-0.1152219398945726,0,0,0,0,0.0045095393269817844,1,0
0.328,12.14229083042867,0,0,4.34223821556374,0,0,0,0,0,0,1,0.08,11.776646472403542,0.12082784552454276,-0.12082784552454276,0.06464288859985186,0,0,0,0.0040690024752243325,1,0
0.351,12.217195217863326,0,0,4.544977796978871,0,0,0,0,0,0,1,0.08,11.850386044089266,0.12289878072374011,-0.12289878072374011,0.09428187212031958,0,0,0,0.0038651454512155844,1,0
0.377,12.37716663349359,0,0,4.951877728724274,0,0,0,0,0,0,1,0.08,11.973665425696685,0.12591757361923905,-0.12591757361923905,0.14868508908633526,0,0,0,0.0034886608812370293,1,0
0.401,12.462249416382093,0,0,5.15603600318624,0,0,0,0,0,0,1,0.08,12.026144030706378,0.12698262929420126,-0.12698262929420126,0.17362914845684835,0,0,0,0.0033138789710870464,1,0
0.427,12.642648387010462,0,0,5.5657638494246315,0,0,0,0,0,0,1,0.08,12.118151511629005,0.1284660011551017,-0.1284660011551017,0.21941469548851608,0,0,0,0.00299109052363074,1,0
0.452,12.73798022261117,0,0,5.771331241100451,0,0,0,0,0,0,1,0.08,12.159241206657338,0.12896172041925447,-0.12896172041925447,0.24040752398582288,0,0,0,0.0028412368883968336,1,0
0.476,12.836744026283396,0,0,5.9773661292874785,0,0,0,0,0,0,1,0.08,12.197853151301823,0.12933542690704947,-0.12933542690704947,0.26022761144449263,0,0,0,0.0484591663372945,1,0
0.501,13.044451363437618,0,0,6.380009471881313,0,0,0,0,0,0,1,0.08,12.14752122998016,0.1298129652078115,-0.1298129652078115,0.2966079588863944,0,0,0,0.13423546242279366,1,0
0.528,13.264998736016237,0,0,6.7550329768656745,0,0,0,0,0,0,1,0.08,11.830349320216252,0.1300509370891043,-0.1300509370891043,0.3290371457992123,0,0,0,0.21243735713836165,1,0
0.552,13.37981746026665,0,0,6.933340425435404,0,0,0,0,0,0,1,0.08,11.614424122913594,0.13011307858321602,-0.13011307858321602,0.34390603791263463,0,0,0,0.24893665863440004,1,0
0.578,13.618075141290864,0,0,7.273808872454859,0,0,0,0,0,0,1,0.08,11.125919239435738,0.13016812420407653,-0.13016812420407653,0.3711983221818365,0,0,0,0.31782532065378993,1,0
0.601,13.741346967400172,0,0,7.436762448937457,0,0,0,0,0,0,1,0.08,10.868980127664527,0.1301733477092984,-0.1301733477092984,0.3837119270223951,0,0,0,0.35014241656499634,1,0
0.627,13.99580413913766,0,0,7.749856292229721,0,0,0,0,0,0,1,0.08,10.355830863375438,0.1301601228555374,-0.1301601228555374,0.4066810129459312,0,0,0,0.4106831302186973,1,0
0.652,14.126856700221401,0,0,7.900616345224995,0,0,0,0,0,0,1,0.08,10.106342004164098,0.130147131944004,-0.130147131944004,0.4172124166921656,0,0,0,0.4392281333452991,1,0
0.68,14.396313590862164,0,0,8.19194592958528,0,0,0,0,0,0,1,0.08,9.63204675662325,0.13010169708064306,-0.13010169708064306,0.43654311481031943,0,0,0,0.49262185377972384,1,0
